T1,V1,W1
1482809400,228.2592335,229.440014
1482813000,227.5842308,230.7169786
1482816600,229.5205574,232.4865386
1482820200,231.9924725,234.7477488
1482823800,234.8691881,237.1391709
1482827400,231.7547619,234.5264202
1482831000,231.4748688,233.8083801
1482913800,236.3416574,237.8997737
1482917400,235.865941,237.9887048
1482921000,236.523989,238.5131258
1482924600,239.4892534,241.9306338
1482928200,236.839685,240.1631845
1482931800,237.9150027,241.2981753
1482935400,240.285137,244.3983506
1482939000,239.5971153,242.6299168
1482942600,241.5401635,244.8367923
1482946200,240.3575858,243.7709597
1482949800,240.3141914,243.8029383
1482953400,241.4785086,245.0019753
1482957000,241.0191427,244.5237279
1482960600,239.5047277,242.6710387
1482964200,239.935696,243.2754663
1482967800,238.2731173,241.1919483
1482971400,235.9837012,238.9138454
1482975000,236.499569,238.5853613
1482978600,231.5404639,232.3321272
1482982200,232.1414998,235.0171
1482985800,233.4315599,236.0951646
1482989400,233.7280462,236.6316345
1482993000,235.6887357,238.9900784
1482996600,239.2862704,241.1284439
1483000200,235.298032,237.5331892
1483003800,236.267767,237.7364988
1483007400,236.9777799,238.2344183
1483011000,238.8138153,240.9446426
1483014600,235.750812,237.9226968
1483018200,238.5968251,241.8371435
1483021800,238.4229397,241.0314965
1483025400,240.6639113,244.6249919
1483029000,240.3349912,243.7886948
1483032600,238.5221561,241.9273763
1483036200,239.5687114,243.3015796
1483039800,240.7871231,244.6520186
1483043400,240.7583103,244.1860411
1483047000,239.630007,243.0689844
1483050600,239.750627,243.011493
1483054200,238.4201461,241.5648166
1483057800,236.2255671,240.0677012
1483061400,236.1754115,238.2482733
1483065000,232.1784115,234.0853051
1483068600,228.0287075,230.5437721
1483072200,228.0349703,231.1428453
1483075800,228.8049264,231.4670154
1483079400,230.1620116,233.0984305
1483083000,233.1810324,235.4847164
1483086600,230.7893589,233.5027536
1483090200,230.9391275,233.152276
1483093800,231.8313712,233.2684576
1483097400,234.2252655,236.980298
1483101000,230.9125305,234.3359679
1483104600,233.7114021,236.2366064
1483108200,231.798115,234.4583027
1483111800,232.879523,236.0561967
1483115400,234.2585349,237.3401836
1483119000,234.3317408,237.7851725
1483122600,236.3682679,239.869596
1483126200,237.9529512,241.5977533
1483129800,239.0442211,242.9263126
1483133400,239.5181814,243.2020993
1483137000,239.5765758,243.0648062
1483140600,238.9756457,242.0360338
1483144200,236.8993142,240.0850167
1483147800,236.3841783,238.5595497
1483151400,233.1471856,234.3831632
1483155000,229.397872,230.7378127
1483158600,228.1930932,230.1161407
1483162200,228.0858118,231.9519406
1483165800,231.9207163,234.2823974
1483169400,235.3822219,238.1625025
1483173000,232.8893578,235.9505153
1483176600,234.4246632,237.1861788
1483180200,234.777013,237.0434254
1483183800,236.1373733,239.1676297
1483187400,231.3018234,235.2812461
1483191000,234.7081402,237.662679
1483194600,237.4265409,240.7158155
1483198200,237.8243128,241.1354181
1483201800,238.0666242,241.7182317
1483205400,239.1927965,242.8792538
1483209000,240.7426445,244.350123
1483212600,241.7314096,245.4991848
1483216200,239.4996843,243.335795
1483219800,240.1634582,243.9095842
1483223400,240.5477332,244.2152691
1483227000,239.6766491,243.0177247
1483230600,238.0790963,241.0708933
1483234200,238.4268174,241.1995045
1483237800,235.8058159,238.2108597
1483241400,232.7849733,234.2645075
1483245000,229.5399314,232.1110103
1483248600,229.2170277,232.1278609
1483252200,229.8321918,232.5950356
1483255800,233.1815858,234.991922
1483259400,233.0743505,235.8002345
1483263000,234.0852264,236.6417544
1483266600,233.3831674,235.7701223
1483270200,234.5908112,237.9797718
1483273800,228.6803404,231.8876411
1483277400,229.118914,232.1586448
1483281000,229.7228687,233.9464005
1483284600,231.927546,235.4410758
1483327800,228.533517,230.4047719
1483331400,228.4113178,230.3522415
1483335000,228.9080604,231.2439832
1483338600,229.9979707,232.3733828
1483342200,235.481243,238.2620861
1483345800,232.7658881,235.4087651
1483349400,233.9471773,236.0724353
1483353000,233.1692637,235.4986628
1483356600,235.6170547,237.7781423
1483360200,233.6113904,236.6557327
1483363800,235.4583494,238.3053682
1483367400,236.6218097,240.6969293
1483371000,239.0398681,243.552041
1483374600,236.0039257,239.5501284
1483378200,237.6014981,242.1522485
1483381800,239.6482972,244.2939913
1483385400,240.9699686,245.1819735
1483389000,242.1611928,246.3080084
1483392600,238.9640159,242.7604797
1483396200,239.1670378,242.8938339
1483399800,238.4080002,241.7282476
1483403400,235.7017469,238.1372553
1483407000,233.8026067,236.0899378
1483410600,228.8968514,231.727185
1483414200,228.2178565,230.6060251
1483417800,228.017995,229.8682414
1483421400,230.5530484,233.1655316
1483425000,233.6674455,235.4247241
1483428600,237.6077977,240.3452205
1483435800,235.3436473,237.7823076
1483493400,231.5593398,234.7766166
1483497000,228.4641482,230.3001262
1483500600,229.6439307,231.7322453
1483504200,228.3850789,231.2137296
1483507800,227.2003091,230.7164055
1483540200,236.6559731,240.9291935
1483543800,238.9561972,242.6833534
1483767000,231.8073632,234.6104974
1483770600,234.0975263,236.3542814
1483774200,238.3074328,240.4471814
1483777800,236.0904359,239.367325
1483781400,236.0640881,238.2185112
1483785000,235.5853108,238.2252271
1483788600,236.550869,239.5449741
1483792200,235.7382128,238.4591983
1483795800,235.4260325,238.4045386
1483799400,237.0207771,240.1443428
1483803000,239.4895434,242.7154468
1483806600,234.3485367,238.3806992
1483810200,235.7070429,239.2671502
1483813800,236.7855516,240.557117
1483817400,238.501421,242.4815506
1483821000,239.9197003,243.7705728
1483824600,241.0981206,244.8145527
1483828200,240.9567513,244.6423963
1483831800,239.695654,242.957396
1483835400,238.6758695,242.8570025
1483839000,236.1147602,239.0898373
1483842600,233.3756385,235.5567479
1483846200,228.9845468,231.403545
1483849800,229.2596224,230.2629938
1483857000,234.8390617,238.8051178
1483860600,235.6960814,238.8621955
1483972200,237.4811109,242.6408908
1483975800,239.3947174,243.5932094
1483979400,239.5778629,243.0960503
1483983000,238.0245965,241.7909757
1483986600,240.1454421,244.0830382
1483990200,241.2082597,245.1995895
1483993800,239.666912,243.4723878
1483997400,240.5626808,244.1516061
1484001000,240.5091921,244.1436789
1484004600,238.3783838,241.8529056
1484008200,236.3600452,238.7505228
1484011800,233.9040089,234.8927341
1484015400,229.2270809,231.6336667
1484019000,231.1417608,233.1109286
1484022600,234.7035371,236.5713986
1484026200,234.45089,237.8754024
1484029800,238.3262691,240.3803422
1484033400,240.1170273,241.6905189
1484047800,238.4214276,240.2633688
