,T1,V1,W1,CNumber,Closeness_Value
3201,1511739000.0,230.6086144,232.4450255,2.0,0.009907259444141047
1285,1511627400.0,230.6380213,232.6688599,2.0,0.013098081310165915
1286,1508556599.9999998,227.7909913,230.4759054,2.0,0.002091778283151696
3188,1502166600.0,226.332968,229.7357734,2.0,0.016375204856784738
2790,1511832600.0,230.6809708,232.44043860000002,2.0,0.009635656172575878
2793,1483263000.0,234.08522640000004,236.6417544,2.0,0.007893068832899409
1463,1484584200.0,235.49093780000004,239.1746104,2.0,0.008691050760877074
3284,1511490600.0,230.21951840000003,232.2017516,2.0,0.007604927912759789
1243,1527246000.0,235.0881283,236.23058730000002,2.0,0.004848206221717871
3287,1509010200.0,229.1483339,231.10981849999996,2.0,0.0049306253520331736
3430,1483248600.0,229.21702769999996,232.1278609,2.0,0.015974832089944695
1187,1484922600.0,237.7352057,241.1298854,2.0,0.009301995637663813
2730,1483237800.0,235.80581589999997,238.2108597,2.0,0.007382079217980995
3411,1507433400.0,228.58683819999996,230.70889870000002,2.0,0.0061557773372139385
1194,1484260200.0,248.15521170000002,251.92413639999998,2.0,0.001695202139117941
1197,1484307000.0,240.6078344,242.10081420000003,2.0,0.009372366605687544
1204,1508135400.0,227.8352889,229.18328980000004,2.0,0.002926691383887143
2739,1527703200.0,233.4763564,234.3743937,2.0,0.014404587660091565
1489,1484472600.0,236.9939006,239.44362729999997,2.0,0.0103786702405288
3371,1505723400.0,228.2027139,230.4111093,2.0,0.010388838568267665
1209,1484206200.0,235.2644122,238.39751160000003,2.0,0.006697968057975011
2740,1484908200.0,236.5082029,239.25280810000004,2.0,0.01566890562892357
3368,1510540200.0,230.3980268,231.5962718,2.0,0.007392227930110736
3363,1506857400.0,229.1509871,230.8960659,2.0,0.014528520457954228
1219,1509424200.0,229.7382164,231.30549379999997,2.0,0.006999121022452989
1223,1507008600.0,228.37813999999997,230.76217979999998,2.0,0.007904669016664752
3339,1506256200.0,227.89895529999998,230.985035,2.0,0.013814022604086634
2751,1509442200.0,229.4462105,231.2996715,2.0,0.005675255158853735
1482,1485271800.0,240.6414277,243.88004429999998,2.0,0.00835215931866186
3316,1482751799.9999998,237.95333050000002,239.99601250000003,2.0,0.014332763751404392
3314,1511256600.0,230.59266959999997,232.2562103,2.0,0.010266035751994532
1239,1527123600.0,234.80714630000003,236.06586479999999,2.0,0.005335681094654252
1477,1511915400.0,231.3181967,231.5203474,2.0,0.007432178180343837
1291,1482597000.0,235.9890634,240.5629594,2.0,0.009611380391087374
1296,1513841400.0,232.1270925,233.1128527,2.0,0.012077911372468943
3164,1483057800.0,236.22556710000003,240.06770120000002,2.0,0.002359246490778858
3161,1527796800.0,234.8511823,236.4070054,2.0,0.007399222637880336
3016,1484983799.9999998,241.2028045,243.2362385,2.0,0.009171916790977973
2869,1485293400.0,240.41131720000004,243.3713949,2.0,0.009833194442813796
3010,1506742200.0,228.3645493,231.2652461,2.0,0.01606391824163302
3006,1506914999.9999998,228.23685340000003,230.50995460000001,2.0,0.005453653363444121
2999,1483493400.0,231.55933979999998,234.7766166,2.0,0.0068868248803191446
1426,1483389000.0,242.1611928,246.3080084,2.0,0.004266880496201597
1372,1483162200.0,228.08581179999996,231.9519406,2.0,0.00591656977477009
2979,1482791400.0,239.3026479,242.99045449999997,2.0,0.008610852847047547
2878,1527768000.0,235.3660461,236.866304,2.0,0.00755352717347942
2971,1482967800.0,238.2731173,241.19194829999998,2.0,0.006319327986159753
2970,1482589800.0000002,236.93051810000003,240.58470610000003,2.0,0.009789974241303767
2965,1508301000.0,228.96220900000003,231.502764,2.0,0.011756005056944182
2964,1482798600.0,236.40820100000002,240.27039820000002,2.0,0.005569660082059249
2880,1484130600.0,236.6564514,239.5172298,2.0,0.005033358131174966
1385,1483079400.0,230.16201160000003,233.09843050000003,2.0,0.011015848852746654
1421,1482528600.0,240.0111562,243.59091800000002,2.0,0.014690498882009191
1387,1511170200.0,229.9272306,231.2995579,2.0,0.0017859738263710566
2955,1527184800.0,235.5683616,234.59389850000002,2.0,0.001566723154509696
2938,1482481800.0,234.3853256,237.14240639999997,2.0,0.013825468377945158
2893,1527336000.0,234.81792000000002,235.8739039,2.0,0.004605862919014653
2897,1482921000.0,236.523989,238.5131258,2.0,0.01310707190866258
2923,1499740200.0,224.8178935,226.9361079,2.0,0.005299538336266781
2913,1511166600.0,230.5932511,232.2679527,2.0,0.010848349552529316
3017,1514168999.9999998,231.1604871,233.61791330000003,2.0,0.013915085540479263
1183,1511069400.0,229.4428813,230.0832428,2.0,0.002561906315191371
3024,1510979400.0,230.3191883,232.6076762,2.0,0.015027526815330488
3029,1513305000.0,230.68427739999998,232.0633855,2.0,0.0019551592226539397
2798,1483795800.0,235.4260325,238.4045386,2.0,0.003970061586523089
1452,1512617400.0,232.3043238,232.55792260000004,2.0,0.016332761640657365
3148,1509093000.0,229.8347188,231.6543039,2.0,0.012410706221485227
3132,1484494200.0,236.1926871,239.69217560000004,2.0,0.006593174475861621
3124,1511598600.0,230.9208744,232.40906059999998,2.0,0.011437288252276162
1312,1506486599.9999998,227.9782247,229.878829,2.0,0.002152533825955851
2817,1484476200.0,235.416379,240.0516244,2.0,0.006879399272021357
2835,1499081400.0,224.8614285,226.8060131,2.0,0.007800580927778295
1326,1510633800.0,230.10525880000003,232.3192116,2.0,0.012607198861626066
3077,1528110000.0,236.3943709,237.9038222,2.0,0.012181232125651184
2840,1511757000.0,229.54903549999997,231.7997162,2.0,0.0033555067734139864
1331,1484055000.0,237.05056769999996,240.11644200000003,2.0,0.0029654677945234738
3070,1482697800.0,240.15130040000003,244.0697081,2.0,0.011528185336743114
3060,1483097400.0,234.2252655,236.980298,2.0,0.006404481054031405
1340,1483180200.0000002,234.777013,237.04342539999996,2.0,0.010137434478500459
3059,1512001799.9999998,232.0072041,232.1808524,2.0,0.015282874641382742
2849,1482553800.0,229.8102923,233.37184050000002,2.0,0.006405336799147046
1343,1484141400.0,237.08411690000003,239.9337575,2.0,0.004524143583876123
3048,1513917000.0,232.1827665,232.8293614,2.0,0.009796558247850348
3045,1483101000.0,230.9125305,234.3359679,2.0,0.0041542810505675225
3044,1503365400.0,227.21915720000004,229.8050166,2.0,0.012922987607733024
1349,1485113399.9999998,240.5871291,244.223251,2.0,0.006104034462632692
1351,1482820200.0,231.99247250000002,234.7477488,2.0,0.01035458447203205
1353,1512448200.0,231.4981193,232.5377162,2.0,0.011105580255675514
4007,1508211000.0,228.85052369999997,230.04710609999998,2.0,0.0021323581404221583
3438,1510371000.0,230.97647380000004,231.6307171,2.0,0.01278883781107457
1176,1482813000.0,227.58423079999997,230.7169786,2.0,0.015266441449737121
3881,1484497800.0,240.2287512,244.3078139,2.0,0.0016655165348263019
3874,1482795000.0,238.19784700000002,241.579936,2.0,0.007625751281897662
2578,1484551800.0,239.7245574,241.2096036,2.0,0.012828319637879702
3872,1510198199.9999998,228.2041125,229.3267445,2.0,0.007347713065759358
983,1484317800.0,234.5161048,237.3212739,2.0,0.01238707154451773
1570,1483349400.0,233.94717729999996,236.0724353,2.0,0.01318997699562729
3866,1512102600.0,230.70640770000003,232.0550369,2.0,0.005339089687248655
3864,1528120800.0,233.76665,234.94790620000003,2.0,0.012390232943803618
3860,1511886600.0,230.073553,232.3062951,2.0,0.007121348881114135
3858,1528113600.0,236.0111038,237.16563559999997,2.0,0.006910730243143898
3882,1507354200.0,226.56571820000002,228.9162328,2.0,0.006470242897543868
3846,1484911800.0,238.53070000000002,240.5184596,2.0,0.015352994010318012
2584,1484062200.0,238.6593095,244.3114205,2.0,0.0064731168724112545
1001,1513312200.0,231.2843029,232.8285607,2.0,0.008594084967552406
1002,1514118600.0,231.43688280000003,233.2803322,2.0,0.010102598484886803
3836,1511065800.0,229.92117749999997,231.91057220000002,2.0,0.0059508734939955526
2589,1483183800.0,236.1373733,239.1676297,2.0,0.003396127646097798
3826,1483198200.0,237.8243128,241.1354181,2.0,0.0026688012660473757
1014,1512135000.0,230.54205369999997,232.0840878,2.0,0.004932502575941571
3799,1482535800.0,238.11517409999996,241.1740487,2.0,0.013135227879575957
1024,1482629400.0,237.3433772,239.900766,2.0,0.01289920163933302
3796,1527793200.0,233.7299758,235.6561909,2.0,0.012755513205079321
2583,1512527399.9999998,230.0233589,231.8757214,2.0,0.0021087816645070944
3901,1484479800.0,237.2679698,239.2276523,2.0,0.014092686605634796
3902,1508477400.0,228.4448135,229.607618,2.0,0.0014735927592476586
1575,1483371000.0,239.03986809999998,243.552041,2.0,0.002890118686615065
918,1511667000.0,230.6940974,232.65768060000002,2.0,0.012911864122465174
1590,1506475800.0,228.6126146,230.2391638,2.0,0.007466726801445032
3989,1484033400.0,240.11702730000002,241.6905189,2.0,0.008607490827961514
3987,1511137800.0,231.06022999999996,231.8312683,2.0,0.01023995957653501
3984,1485124200.0,239.15171309999997,242.3922098,2.0,0.009418866645951108
3981,1527454800.0,235.0907896,236.5937209,2.0,0.007060373480941929
3979,1506562200.0,228.79267290000004,230.5569501,2.0,0.010563869016085024
1587,1482431400.0,238.7879015,243.01109279999997,2.0,0.01626166919757852
